Titre;Temps Total;Temps Préparation;Temps Cuisson;Nombre de personnes;Difficulté;Coût;Ingrédients;Étapes;Ustensiles;Liens_recette
Liqueur de coriandre;15 min;15 min;-;20;moyenne;moyen;"['4 clous de girofle', '200 g de sucre', '15 g de graines de coriandre', '5 g de cannelle en bâton', '5 genièvre', ""1 l d' eau de vie"", ""10 cl d' eau""]";"[""Mettre les graines de coriandre, le bâton de cannelle, les clous de girofle et les baies de genièvre dans le bocal à conserves et verser l'eau de vie dessus."", 'Mettre le bocal fermé dans un endroit frais et sombre pendant 5 semaines.', 'Durant ce temps secouer le bocal environ 2 fois par semaine.', ""Après cette période, faire dissoudre sur un feu bas le sucre dans l'eau."", 'Laisser refroidir ce liquide.', ""Tamiser l'eau de vie du bocal."", 'Ajouter le sirop de sucre refroidi.', 'Verser le liqueur dans une ou deux bouteilles et laisser le reposer pendant au moins 3 mois.']";['1 Entonnoir', '1 Tamis', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-coriandre_95378.aspx
Liqueur de fleurs d'oranger;15 min;15 min;-;2;moyenne;moyen;"[""1 verre de vin de fleurs d'oranger"", '500 g de sucre', '25 cl de lait', ""1 l d' eau de vie""]";"[""Faire macérer les fleurs d'oranger 2 h dans le lait bouillant."", 'Ajouter le sucre.', 'Laisser macérer 2 jours en remuant matin et soir.', ""Ajouter l'eau de vie."", 'Laisser macérer 8 jours', 'Filtrer, mettre en bouteilles.']";['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-fleurs-d-oranger_11314.aspx
Margarita au café;10 min;10 min;-;1;facile;bon marché;['sucre en poudre', 'sel', '1 petite tasse de café froid', '3 cl de téquila', '2 cl de jus de citron vert'];['Humidifiez les bords du verre avec quelques glaçons et un peu de jus de citron, puis trempez les bords dans un mélange de sucre en poudre (80% du mélange) et de sel (20% du mélange) pour un effet givré.', 'Dans un shaker, versez le café, la tequila et le jus de citron.', 'Shakez, filtrez la préparation et versez la boisson dans le verre à cocktail.'];['1 balance de cuisine', '1 shaker'];https://www.marmiton.org/recettes/recette_margarita-au-cafe_534156.aspx
Milkshake au Cooking Chef;5 min;5 min;-;4;facile;bon marché;['20 cl de crème fraîche', '2 cuillères à café de sucre', '200 g de yaourt à la grecque', '20 cl de sirop au parfum de votre choix'];['Congelez le yaourt mélangé au sirop, en petites portions dans des bacs à glaçons, pendant au moins 5 heures.', 'Versez les glaçons obtenus, la crème, le sucre dans la cuve du Cooking Chef. Mixez en augmentant la puissance progressivement avec le blender sur la sortie ultra rapide / 40 sec / 0 °C / vit. 3 à 8. Dégustez immédiatement.'];['1 Cooking Chef', '1 blender', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_milkshake-au-cooking-chef_383736.aspx
Rainbow smoothie;40 min;40 min;-;2;facile;bon marché;"['2 bananes congelées', '1 banane congelée', '2½ cuillères à soupe de yaourt grec', '40 g de fraises congelées', '120 g de framboises congelées', '1 banane congelée', '2½ cuillères à soupe de yaourt grec', '1 orange', '2 cuillères à soupe de gelée de pêches', '1 cuillère à soupe de gelée de mangue', '2 bananes congelées', '2½ cuillères à soupe de yaourt grec', ""40 g d' ananas congelé"", '½ tasse de yaourt grec, de vanille ou de plaine', '1 poignée de mâche (ou épinard)', ""80 g d' ananas congelé"", '1 banane congelée', '2½ cuillères à soupe de yaourt grec', '120 g de cassis surgelés', '1 banane congelée', '2½ cuillères à soupe de yaourt grec', '2 tranches de betterave', '100 g de framboises fraîches ou surgelées']";"['Pour chaque smoothie :', ""Placer tous les ingrédients dans un blender et mélanger jusqu'à l'obtention d'une consistance lisse. Ajouter de l'eau (ou du lait) si le mélange est trop épais."", 'Transférer le smoothie dans un bol ou un récipient, rincer le blender et préparer la prochaine couche.', 'Réalisation du rainbow smoothie :', 'Verser délicatement les couches les unes après les autres.', 'Décorer les verres avec une brochette de fruits restants.']";['1 blender', '1 saladier', '1 Cuillère en bois', '1 bol'];https://www.marmiton.org/recettes/recette_rainbow-smoothie_345352.aspx
"Smoothie ""good morning"" aux fruits rouges et feuilles vertes";5 min;5 min;-;2;très facile;bon marché;"['gingembre frais selon votre goût', ""25 cl de jus d'orange"", '1 pomme', '100 g de fruits rouges surgelés', '50 g de salade /roquette/épinards en mélange']";['Peler et découper la pomme en dés, râper le gingembre.', 'Mixer ensemble tous les ingrédients, servir frais !'];['1 blender', '1 Râpe', '1 couteau', '1 Mixeur', '1 planche à découper'];https://www.marmiton.org/recettes/recette_smoothie-good-morning-aux-fruits-rouges-et-feuilles-vertes_314182.aspx
Smoothie à la fraise;5 min;5 min;-;2;facile;bon marché;"['250 g de fraises (généralement 1 barquette)', '1 banane', '2 yaourts natures', ""1 jus d'orange"", '4 glaçons']";"['Couper les fraises en deux après les avoir équeutées.', 'Ajouter la banane coupée en rondelles puis les yaourts.', ""Verser les glaçons et le jus d'orange (plus ou moins selon l’onctuosité que l'on veut obtenir)."", ""Pour ma part j'en mets un grand verre dans un premier temps puis j'en ajoute pour obtenir un smoothie crémeux que l'on peut boire à la paille gros diamètre).""]";['1 blender', '1 Couteau'];https://www.marmiton.org/recettes/recette_smoothie-a-la-fraise_309780.aspx
Smoothie rapide aux fruits exotiques;10 min;10 min;-;8;très facile;bon marché;['rhum blanc pour les plus grands (5 cl)!', '450 g de fruits exotiques au sirop sans sucre ajouté', '20 cl de lait de coco'];"[""Verser la boîte de fruits dans un blender et mixer jusqu'à obtenir une purée homogène. Ajouter le lait de coco et mixer à nouveau."", 'Mettre au frais durant au moins 2 heures.', 'Servir très frais dans des grands verres.', 'Pour les plus grands, ajouter un peu de rhum.']";['1 blender', '1 Mixeur', '1 Frigo'];https://www.marmiton.org/recettes/recette_smoothie-rapide-aux-fruits-exotiques_88197.aspx
Summer smoothie;5 min;5 min;-;3;facile;bon marché;['2 bananes', '5 oranges', '2 pommes', '6 glaçons'];"['Couper les bananes en rondelles.', 'Couper les pommes en petits morceaux.', 'Mettre les fruits coupés dans le mixeur.', 'Ajouter les glaçons.', 'Presser les oranges et les ajouter au reste.', ""Mixer jusqu'à ce que les fruits soient bien mélangés.""]";['1 blender', '1 couteau', '1 Mixeur', '1 presse agrume', '1 saladier'];https://www.marmiton.org/recettes/recette_summer-smoothie_334297.aspx
Thé au cumin à la lituanienne;7 min;5 min;2 min;1;très facile;bon marché;['1 pincée de cumin', '15 cl de jus de pomme'];"[""Tapissez le fond d'une tasse de cumin."", ""Remplissez la tasse aux 2/3 avec de l'eau bouillante."", 'Complétez avec le jus de pomme.', 'Servez quand le cumin est redescendu au fond de la tasse.']";[];https://www.marmiton.org/recettes/recette_the-au-cumin-a-la-lituanienne_55013.aspx
Vin d'orange;10 min;10 min;-;1;très facile;moyen;['1 bouteille de vin rouge corsé (type vin du Sud-ouest)', '2 oranges non traitées', '250 g de sucre en poudre'];['Retirez les zestes des oranges et hachez-les au robot', 'Disposez les zestes, le vin et le sucre dans un gros bocal (type Le Parfait), puis mélangez.', 'Laissez mariner pendant 15 jours.', 'Filtrez et mettez en bouteille.'];['1 Entonnoir', '1 robot pâtissier', '1 saladier', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-d-orange_30955.aspx
Vin de noix de Grenoble;15 min;15 min;-;5;très facile;moyen;"['5 l de vin rouge à 13 ou 14°', '40 morceaux de sucre', '40 noix vertes (cueillies à la St Jean)', ""1 l d' eau de vie"", 'vanille ...', 'cannelle']";['Mélanger tous les ingrédients dans un récipient. Couvrir et laisser reposer 40 jours.', 'Filtrer. Embouteiller. Laisser bonifier 5 ou 6 mois.'];['1 Entonnoir', '1 Couvercle', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_vin-de-noix-de-grenoble_14425.aspx
Vin de pissenlit maison;10 min;10 min;-;10;moyenne;moyen;"['1 morceau de gingembre', ""2 zestes d' orange"", '3 kg de sucre', '2 cuillères à café de levure de vin', ""10 l d' eau"", '2½ kg de Fleurs de pissenlit', '2 zestes de citron', '2 citrons (jus)']";"[""Faire bouillir 10 l d'eau, refroidir"", 'et mélanger à 2,5 kg de fleurs de', 'pissenlit bien propres, sans leur', 'calice. Laisser macérer 1 jour.', 'Ajouter 1 gros morceau de gingembre', ""frais, deux zestes d'oranges et deux"", 'zestes de citrons.', 'Faire bouillir 30 min. Filtrer,', 'ajouter 2,8 kg de sucre et 2 jus de', 'citrons. Ajouter 2 cc de levure de', 'vin (dans les magasins de produits', 'vinicoles). Couvrir et laisser', 'fermenter durant 3-4 jours au frais.', 'Transvaser dans un petit fût,', 'boucher hermétiquement et laisser', 'reposer 2 mois.', 'Mettre en bouteille et laisser reposer', '6 mois.']";['1 Entonnoir', '1 Cuillère en bois', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-pissenlit-maison_11092.aspx
Vin chaud aux épices au Monsieur Cuisine;11 min;11 min;-;4;très facile;bon marché;"['50 cl de vin rouge (bordeaux, bourgogne ou pinot noir)', 'sucre roux', '1 étoile de badiane', '1 clou de girofle', '5 g de gingembre frais', '1 pointe de couteau de muscade râpée', '1 orange', '1 cuillère à café de zeste de citron', ""1 cuillère à café de zeste d'orange"", '1 bâton de cannelle']";['Versez dans la cuve de votre Monsieur Cuisine le vin, le sucre, la cannelle, la badiane, le clou de girofle, le gingembre pelé entier, la noix muscade et les zestes. Lancez la cuisson pendant 11 min / vit. 1 / 105 °C.', 'Filtrez, puis servez accompagné de rondelles d’orange.'];['1 Monsieur Cuisine', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-chaud-aux-epices-au-monsieur-cuisine_382901.aspx
Vin de noix vanillé;15 min;15 min;-;4;très facile;bon marché;"['3½ l de vin rouge', '1 kg de sucre en poudre', '1 gousse de vanille bourbon', ""½ l d' eau de vie"", '12 noix vertes fraiches']";"[""Rincer les noix vertes et les couper en 4 (j'utilise un gros couteau de cuisine et un marteau)."", ""Dans une bonbonne (ou un jerrycan propre) verser le vin, l'eau de vie, le sucre puis ajouter les noix coupées et la gousse de vanille fendue dans le sens de la longueur."", 'Laisser macérer le tout pendant minimum 40 jours en remuant la bonbonne de temps en temps.', 'Filtrer puis mettre en bouteille.', ""Il est préférable d'attendre minimum 6 mois avant de consommer.""]";['1 Entonnoir', '1 Couteau', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-noix-vanille_216939.aspx
Cerises à l'eau de vie de James;10 min;10 min;-;1;très facile;moyen;"['8 g de sucre', '500 g de cerises aigres', ""20 cl d' eau de vie"", ""10 cl d' eau""]";"[""Faire fondre le sucre dans l'eau puis vider le liquide ainsi obtenu dans un bocal avec l'eau de vie."", ""Couper un peu la queue des cerises pour qu'il reste un petit bout et les incorporer à la préparation précédente dans le bocal."", 'Bien mélanger en secouant et attendre 1 semaine avant de déguster.']";['1 casserole', '1 Couteau', '1 Cuillère en bois', '1 dénoyauteur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cerises-a-l-eau-de-vie_49185.aspx
Eau de vie à la cerise;30 min;30 min;-;1;moyenne;moyen;"['75 g de sucre cristallisé', '450 g de cerises (griottes)', ""2 gouttes d' amandes"", ""60 cl d' eau de vie de vin""]";"[""Équeutez les cerises et percez-les à l'aide d'une aiguille stérilisée ou d'une pique à cocktail en bois."", ""Dans un bocal stérilisé, alternez en couches les cerises et le sucre. Ajoutez l'essence d'amande."", ""Couvrez d'eau de vie de sorte que les fruits soient recouverts d'au moins 1cm. Laissez macérer pendant au moins 3 mois dans un endroit frais et sombre, en secouant le bocal de temps à autre."", 'Transvasez la préparation dans une bouteille stérilisée en filtrant avec une fine mousseline. Bouchez et étiquetez la bouteille.']";[];https://www.marmiton.org/recettes/recette_eau-de-vie-a-la-cerise_11918.aspx
Le képhyr et ses secrets;5 min;5 min;-;1;très facile;bon marché;['1 champignon de Képhyr', '1 l de lait'];"[""Mettre le champignon dans un bocal propre en verre (le verre a peut être son importance) que l'on remplit de lait de vache bouilli ou stérilisé ou pasteurisé (la marque n'a pas d'importance)."", 'Laisser un espace de 3 ou 4 cm de vide en haut pour compenser le développement du gaz carbonique (ça pourrait casser le verre). Fermer hermétiquement et laisser reposer.', 'Au bout de 24 h, filtrer la préparation et recommencer après avoir égoutté le képhyr.', ""Tous les huit jours, le képhyr doit être lavé à l'eau tiède."", 'Le Khoumys est la même préparation avec du lait de jument.']";[];https://www.marmiton.org/recettes/recette_le-kephyr-et-ses-secrets_13514.aspx
Liqueur de cassis à l'eau de vie;1 h;1 h;-;2;moyenne;moyen;"['1 gousse de vanille', '1 kg de cassis', '1 poignée de cassis très fraîches', '200 g de framboises', '1 bâton de cannelle', ""1 l d' eau de vie pour fruits à 40°"", '500 g de sucre candi']";"[""Le plus rapidement possible après la cueillette, lavez les baies et les feuilles de cassis. Mettez-les dans un bocal d'1,5 litre fermant hermétique-"", 'ment.', ""Ajouter les framboiseset la cannelle, recouvrez d'alcool."", 'Laissez macérer 2 semaines. Au bout de ce délai, pressez fortement les baies dans un tamis pour en recueillir le jus et reversez dans le bocal en ajoutant la gousse de vanille fendue.', 'Mettez le sucre, rebouchez et laissez lentement se dissoudre le sucre avant de consommer(environ 1 mois).']";['1 Entonnoir', '1 Tamis', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-cassis-eau-de-vie_11101.aspx
Liqueur de lait;10 min;10 min;-;2;facile;assez cher;"['3 gousses de vanille', '500 g de sucre fin', '1 l de lait de vache', ""1 l d' alcool à 90°"", '4 citrons jaunes non-traités', '8 girofle']";['Épluchez les citrons et coupez les en 4 et fendez les gousses de vanille.', 'Placez tous les ingrédients dans un bocal hermétiquement clos.', 'Placez le bocal à l’abri de la lumière et remuez-le 1 fois par jour pendant 40 jours.', 'Enlevez ce qui reste de solide à l’aide d’une écumoire et consommez avec modération.'];['1 Entonnoir', '1 Écumoire'];https://www.marmiton.org/recettes/recette_liqueur-de-lait_211620.aspx
Ma liqueur de menthe;30 min;30 min;-;2;très facile;bon marché;"['1 kg de sucre', '300 g de menthe', ""1 l d' alcool pour fruits""]";"[""Dans un bocal de 3 litres (c'est plus facile à mélanger) mettre les feuilles de menthe, ajouter le sucre et l'alcool de fruits."", 'Laisser macérer en remuant plusieurs jours de suite de façon à ce que le sucre fonde bien et la liqueur prenne une certaine couleur.', 'Laisser ensuite un mois au frais.', 'Filtrer et mettre en bouteille.']";['1 Entonnoir', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_ma-liqueur-de-menthe_80871.aspx
Milk-shake banane et chocolat;2 min;2 min;-;2;très facile;bon marché;['1 yaourt', '1 banane', '350 ml de lait', '1 sachet de sucre vanillé', '3 cuillères à soupe de chocolat en poudre'];['Mettre le lait, le yaourt, le sucre, le chocolat et la banane coupée dans le mixer.', 'Mixer et servir.'];['1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_milk-shake-banane-et-chocolat_31575.aspx
Milkshake pêche-banane vegan;40 min;10 min;-;6;très facile;bon marché;['2 bananes', '5 pêches bien mûres', '20 cl de boisson aux amandes', '1 grenade'];"['Epluchez les bananes et coupez les en morceaux. Lavez les pêches, dénoyautez-les et coupez-les en morceaux.', ""Mettre les morceaux de pêches et de bananes dans un mixeur, ajoutez le lait d'amandes et mixez."", 'Versez le contenu dans des verres et placez-les une trentaine de minute au congélateur pour déguster bien frais.', 'Préparez la grenade pour accompagner votre milkshake. Dégustez votre milkshake avec les grains de grenade !']";['1 congélateur', '1 Mixeur'];https://www.marmiton.org/recettes/recette_milkshake-peche-banane-vegan_359685.aspx
Smoothie aux fruits rouges de Jonas;5 min;5 min;-;1;très facile;bon marché;['20 g de fraises', '10 g de sucre', '20 g de framboises', '20 g de myrtilles', '20 g de mûres', '20 g de cerises'];['1) Equeutez les fraises puis coupez-les en deux.Dénoyautez les cerises,enlevez leur queue,puis coupez-les en deux.Coupez vos myrtilles en deux.Faites de même avec les mûres,en essayant de ne pas vous tachez.Laissez vos framboises entières.', '2) Mettez le tout dans un mixeur,et rajoutez le sucre.Mixez 10 secondes.Buvez aussitôt.'];['1 blender', '1 Mixeur', '1 dénoyauteur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-aux-fruits-rouges_166065.aspx
Smoothie banane mangue;10 min;10 min;-;2;facile;bon marché;"['2 bananes (moyenne ou 1 grosse)', '1 yaourt', 'sucre roux', '1 mangue', ""20 cl de jus d'orange""]";"['Coupez les fruits pelés et dénoyautés en morceaux.', ""Mixez tous les ingrédients en ajoutant plus ou moins de jus d'orange, il sert à liquéfier la préparation et à lui donner la texture désirée."", 'Quelques minutes plus tard, vous voilà au soleil.', 'Versez dans des verre et dégustez immédiatement.', 'Parfait pour un matin énergétique !']";['1 blender'];https://www.marmiton.org/recettes/recette_smoothie-banane-mangue_336308.aspx
Smoothie exotique;10 min;10 min;-;4;facile;bon marché;['2 bananes', '1 mangue', '½ ananas', '1 fruits (s) de la passion', '1 boule de glace vanille ou à la coco', '½ verre de glace pillée', '12 cl de jus exotique'];"['Coupez les fruits en petits morceaux, mettez-les dans le mixeur.', 'Ajoutez la boule de glace et la glace pillée', 'Mettez ensuite le jus exotique, mixez le tout.', ""Vous pouvez décorer votre verre avec une 1/2 tranche d'ananas. Verser le smoothie."", 'Bonne dégustation !']";['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-exotique_343649.aspx
Smoothie fruits et céréales;5 min;5 min;-;1;très facile;moyen;"['½ banane', '½ pomme', '1 yaourt nature', '1 cuillère à soupe de raisins secs', ""1 cuillère à soupe de flocons d'avoine sans sucre (ou muesli)"", '5 cl de lait', '2 glaçons']";['Peler la banane et la pomme, les mettre dans un blender avec le yaourt, les raisins secs et les céréales.', 'Rajouter un peu de lait (commencer par 5 cl) et en rajouter si vous souhaitez rendre le smoothie plus liquide.', 'Mixer 1 minute.', 'Rajouter les glaçons, mixer 2 minutes. Servir.'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-fruits-et-cereales_67018.aspx
Smoothie rapide kiwi banane mangue;15 min;15 min;-;3;très facile;bon marché;['1 banane', '½ mangue', '2 kiwis', '15 cl de fruits exotiques', '3 glaçons (facultatif)'];['Epluchez les fruits et coupez les en morceaux.', 'Mettez le jus (et les glaçons si vous souhaitez en mettre) dans le blender (a defaut de blender, mixer le tout dans un grd saladier pour éviter que cela éclabousse partout), ajoutez les fruits et mixez une minute puis servez dans 2-3 verres'];['1 blender', '1 saladier', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-rapide-kiwi-banane-mangue_166070.aspx
Thé à la menthe et miel;25 min;15 min;10 min;6;facile;bon marché;"['5 morceaux de sucre roux', '3 cuillères à soupe de miel', ""1½ l d' eau"", '1 botte de menthe (paquet de menthe rayon salade)', '1 sachet de thé vert (type camel thé vert chinois)']";"[""Pour cette recette il vous faudra une boule à thé et une théière d'environ 1 litre."", ""Mettre l'eau à bouillir, pendant ce temps laver et séparer les feuilles de menthe des tiges puis les couper grossièrement, réserver, remplir la moitié de la boule à thé de thé vert, la refermer et la mettre dans la théière."", ""Une fois que l'eau boue, verser sur la boule à thé jusqu'à la recouvrir pas plus, tourner afin de rincer le thé environ 30 sec, vider et recommencer ce procédé, cela permet d'enlever l'amertume !"", ""Une fois la deuxième eau de rinçage vidée, mettre les feuilles de menthe dans la théière, verser l'eau restante jusqu'à remplir la théière mettre les 5 morceaux le sucre et les 3 cuillères de miel bien mélanger et laisser infuser environ 10 min."", ""Ensuite y a plus qu'à déguster attention c'est très chaud ! Vous pouvez rajouter plus de sucre ou de miel en fonction de votre goût.""]";['1 Couteau', '1 Couvercle', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_the-a-la-menthe-et-miel_336845.aspx
Thé glacé menthe pêche;15 min;15 min;-;1;très facile;bon marché;"['sucre en poudre (de préférence roux)', ""1 l d' eau"", '10 feuilles de menthe coupées en 2', ""1 cuillère à café de thé vert (l'idéal est du gunpowder)"", 'sirop de pêche']";"[""Mettre à infuser le thé dans l'eau très chaude (30 secondes à 1 minute suffisent car il ne doit pas prendre un goût amer). Enlever le thé et y placer les feuilles de menthe et le sucre en poudre (environ 5 cuillères à soupe)."", ""Goûter, rajouter du sucre si nécessaire (le goût doit être légèrement sucré et la dose nécessaire de sucre dépend de l'infusion du thé) et laisser refroidir."", 'Lorsque la préparation est froide, ôter les feuilles de menthe et ajouter le sirop de pêche (là aussi, goûter au fur et à mesure ).', 'Normalement, il suffit de doser comme un mélange classique eau/sirop.', 'Mettre au frais et servir sur des glaçons.']";['1 sorbetière', '1 saladier', '1 Réfrigérateur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_the-glace-menthe-peche_40067.aspx
Vin de framboise;15 min;15 min;-;1;très facile;moyen;"['120 g de sucre', '50 cl de vin rouge (Bandol...)', ""2 tranches d' orange"", '200 g de framboises', ""25 cl d' eau de vie de framboise""]";['Mettre les framboises, le sucre et les autres ingrédients dans 1 bouteille. Laisser macérer pendant 1 mois.'];['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-framboise_17075.aspx
Vin de groseille;1h30;1h30;-;2;moyenne;bon marché;"['500 g de sucre cristallisé', '1½ kg de groseilles rouges', ""1 l d' eau""]";"['Egrapper, laver et écraser les groseilles. Les laisser fermenter dans un bocal fermé pendant 2 jours.', ""Préparer un sirop avec l'eau et le sucre, le laisser refroidir."", 'Passer les groseilles au tamis, puis mélanger le jus et le sirop et les verser dans un bocal.', ""Recouvrir d'un linge et laisser reposer 3 mois."", 'Passé ce temps, filtrer le liquide et le reverser dans le bocal lavé et rincé. Le fermer hermétiquement.', 'Après 1 mois, filtrer à nouveau et mettre dans des bouteille. Boucher celles-ci et conserver dans un endroit frais, sec et obscur.', ""Ce vin peut servir d'apéritif.""]";['1 Entonnoir', '1 Tamis', '1 Cuillère en bois', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-de-groseille_12977.aspx
Vin de noix de Jeannot;20 min;20 min;-;6;facile;moyen;"['5 l de vin corsé (13°)', '12 noix coupées (cueillies avant le 14 juillet)', '1 kg de sucre en poudre', ""10 g d' écorce d'orange amère (trouvé en herboristerie)"", ""1 l d' alcool pour fruits"", '5 cuillères à café de thé noir']";['Couper les noix en morceaux et laisser macérer avec tous les ingrédients pendant 90 jours au moins.', 'Remuer souvent.', 'Filtrer et mettre en bouteilles.', 'Attendre au moins 6 mois avant de consommer.', 'Garder les bouteilles debout.'];['1 Entonnoir', '1 couteau', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_vin-de-noix-de-jeannot_325197.aspx
Café frappé au chocolat;5 min;5 min;-;1;très facile;bon marché;['20 cl de lait demi-écrémé', 'vanille en poudre', '1 cuillère à café de sucre en poudre selon le goût', '1½ cuillère de café de café soluble', '1 cuillère à café de chocolat en poudre type Van Houten'];['Mettez tous les ingrédients dans votre shaker ou dans votre mixer.', 'Emulsionnez soigneusement et buvez!'];['1 Mixeur', '1 shaker'];https://www.marmiton.org/recettes/recette_cafe-frappe-au-chocolat_50195.aspx
Café glacé très simple pour réception;11 min;10 min;1 min;1;très facile;bon marché;['20 cl de crème fraîche entière liquide', '80 g de sucre', '10 cuillères de café de café soluble', '1 l de lait entier (en bouteille avec bouchon)'];"[""Dans une casserole mettre le café soluble, le sucre et recouvrir d'un peu de lait :faire chauffer sans atteindre l'ébullition."", 'Retirer du feu, laisser refroidir 5-10 minutes :il faut que ça soit tiède .', 'Puis y ajouter la crème fraiche et le reste de lait.', 'Remettre dans la bouteille de lait (il y en aura de trop :je mets le reste dans un verre)et remettre au frais.', 'servir bien frais : je le fais la veille.', ""J'ai marqué pour réception car il est hyper facile à faire en grande quantité .""]";['1 sorbetière', '1 casserole', '1 Couvercle', '1 Réfrigérateur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cafe-glace-tres-simple-pour-reception_93740.aspx
Café Valdotain;15 min;15 min;-;6;très facile;bon marché;"['sucre', ""6 tranches d' orange"", '60 cl de café filtre bien chaud', ""3 cuillères à soupe d' eau de vie selon le goût. (On peut ajouter 1 ou 2 cuillères à café de Grand-Marnier)"", '6 tranches de citron']";"['Faire le café. Mélanger avec le sucre pour le dissoudre en le gardant bien au chaud. Ajouter les fruits. Ajouter les alcools forts et flamber.', 'Puis verser dans la Grolla qui est un récipient en bois sculpté, à plusieurs becs. On fait tourner la Grolla et chacun bois à son bec !', ""Peut se boire ausi dans des verres, mais c'est moins convivial.""]";['1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cafe-valdotain_21564.aspx
Caribbean Mule épicé;10 min;10 min;-;1;facile;bon marché;['3 cl de rhum ambré des îles Old Nick', '½ citron vert coupé en quartiers', '2 tranches de gingembre frais (1 cm d’épaisseur)', '12 cl de Ginger beer', 'glaçons'];['Remplir le verre de glaçons pour le refroidir.', 'Dans un shaker mettre le citron vert et les tranches de gingembre.', 'À l’aide d’un pilon, écraser jusqu’à obtenir une pâte.', 'Ajouter dans le shaker le rhum et quelques glaçons.', 'Shaker 10 secondes.', 'Verser en filtrant à l’aide d’un chinois.', 'Topper avec la ginger beer.', 'Déposer une rondelle de citron vert en guise de décoration.'];['1 chinois', '1 shaker'];https://www.marmiton.org/recettes/recette_caribbean-mule_533791.aspx
Cocktail d'Halloween orange et fraise;10 min;10 min;-;1;très facile;bon marché;"[""jus d'orange"", 'sirop de fraise ou grenadine', 'glaçons', 'réglisse']";"['Prends un grand verre transparent.', 'Ajoute le sirop de fraise ou de grenadine en premier dans le verre.', ""Ajoute des glaçons et le jus d'orange."", 'Autour du verre, décore avec des fils de réglisse, ajoute une paille enfin, le tour est joué !']";[];https://www.marmiton.org/recettes/recette_cocktail-monstrueux-d-halloween_531776.aspx
Cocktail monstrueux d'Halloween;5 min;5 min;-;4;très facile;bon marché;"['bonbon colorés (files)', '10 cl de grenadine', ""1 l de jus d'orange (ou d'ananas)""]";"['Prends une carafe décorée de manière terrifiante.', ""Verses-y le jus d'orange ou d'ananas."", ""Puis la grenadine, elle va rester au fond, c'est normal."", 'Mets des bonbons en forme de long files dedans.', 'Avant de servir, remues pour que la grenadine remonte.']";[];https://www.marmiton.org/recettes/recette_cocktail-monstrueux-d-halloween_531872.aspx
comment faire un café turc;10 min;5 min;5 min;1;très facile;bon marché;"['sucre selon votre goût, en général 1 morceau par tasse', ""café moulu très finement (presque comme la farine, le café s'achète dans les épiceries orientales spécialisées), 1 grosse cuillèrée à café par tasse"", ""1 tasse d' eau""]";"['Faites bouillir l\'eau dans ce qu\'on appelle 1 ""djezvé"", rajoutez le sucre selon votre goût, le café, puis remettez le djezvé sur le feu.', 'Faites ""monter"" le café tout en le touillant jusqu\'à l\'obtention d\'une mousse.']";[];https://www.marmiton.org/recettes/recette_comment-faire-un-cafe-turc_48053.aspx
Detox Water fraise concombre;5 min;5 min;-;1;très facile;bon marché;"['500 g de fraises', '1 concombre', '1 bouquet de menthe fraîche', ""50 cl d' eau""]";"[""Laver et couper les fraises en morceaux, le concombre en rondelles et ajouter quelques feuilles de menthe dans l'eau. Laisser macérer au moins 20 minutes pour parfumer l'eau, voir quelques heures au frais."", 'Succès assuré.']";['1 couteau'];https://www.marmiton.org/recettes/recette_detox-water-fraise-concombre_344021.aspx
